backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,16777216,9,1,1438.0399390356615,,1428.23
native,16777216,9,2,1437.9330209922045,,1427.828
wasm2c,16777216,9,0,3328.858345048502,1862.222,1440.553
wasm2c,16777216,9,1,3310.4315049713477,1858.159,1436.102
wasm2c,16777216,9,2,3312.6035690074787,1858.163,1437.972
process_rpclib,16777216,9,0,3993.3827880304307,2466.821,1478.457
process_rpclib,16777216,9,1,3753.994659986347,2238.908,1458.457
process_rpclib,16777216,9,2,4074.305201007519,2556.966,1469.96
process_capnp,16777216,9,0,3563.659745035693,2072.206,1460.591
process_capnp,16777216,9,1,3570.6896720221266,2087.631,1462.175
process_capnp,16777216,9,2,3649.2291699978523,2108.714,1519.629
