backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
capnp,4194304,1,2,72.43853298132308,54.503,13.556
native,4194304,6,0,14.816927985521033,,13.631
native,4194304,6,1,14.747399021871388,,13.458
native,4194304,6,2,16.804958984721452,,15.522
wasm2c,4194304,6,0,30.90056899236515,15.402,13.669
wasm2c,4194304,6,1,30.68498699576594,15.435,13.409
wasm2c,4194304,6,2,31.393290002597496,15.605,13.748
capnp,4194304,6,0,86.47125901188701,61.395,20.803
capnp,4194304,6,1,75.30003998544998,53.315,17.402
capnp,4194304,6,2,74.36096400488168,52.912,16.981
native,4194304,9,0,16.580575989792123,,15.394
native,4194304,9,1,17.82608201028779,,16.684
native,4194304,9,2,15.037245990242809,,13.901
wasm2c,4194304,9,0,34.76511899498291,17.27,15.191
wasm2c,4194304,9,1,33.385723014362156,16.487,14.545
wasm2c,4194304,9,2,34.83602899359539,17.6,14.904
capnp,4194304,9,0,63.051503006136045,43.447,15.31
capnp,4194304,9,1,75.12098300503567,53.715,17.275
capnp,4194304,9,2,67.6146209880244,47.874,15.723
native,16777216,1,0,43.95606298930943,,41.255
native,16777216,1,1,43.72816899558529,,41.127
native,16777216,1,2,43.92418300267309,,41.239
wasm2c,16777216,1,0,92.25023002363741,45.442,41.89
wasm2c,16777216,1,1,94.03979300986975,46.669,43.084
wasm2c,16777216,1,2,92.18854497885332,46.017,42.183
capnp,16777216,1,0,284.40426298766397,222.82,54.146
capnp,16777216,1,1,267.12823199341074,208.348,51.503
capnp,16777216,1,2,288.5816439811606,226.286,54.972
native,16777216,6,0,95.14730298542418,,52.57
native,16777216,6,1,62.840330007020384,,59.814
native,16777216,6,2,54.99132501427084,,52.431
wasm2c,16777216,6,0,118.8668160175439,61.038,54.066
wasm2c,16777216,6,1,118.83636398124509,61.207,53.426
wasm2c,16777216,6,2,118.58791499980725,61.521,52.913
capnp,16777216,6,0,295.8948830200825,223.469,65.227
capnp,16777216,6,1,291.4471790136304,219.98,64.583
capnp,16777216,6,2,273.4705730108544,207.561,59.319
native,16777216,9,0,56.46265999530442,,53.865
native,16777216,9,1,57.01921897707507,,54.367
native,16777216,9,2,58.85135201970115,,56.027
wasm2c,16777216,9,0,119.20468299649656,61.186,54.091
wasm2c,16777216,9,1,119.982837990392,61.994,54.321
wasm2c,16777216,9,2,120.4592669964768,62.281,54.354
capnp,16777216,9,0,312.3145200079307,238.059,66.964
capnp,16777216,9,1,311.97887600865215,242.852,62.824
capnp,16777216,9,2,312.43179499870166,240.101,64.933
