backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,1048576,9,0,4.814579035155475,,4.075
native,1048576,9,1,5.450458033010364,,4.647
native,1048576,9,2,5.513473006431013,,4.62
native,1048576,9,3,4.428646003361791,,3.701
native,1048576,9,4,4.639254009816796,,3.922
wasm2c,1048576,9,0,12.94315594714135,5.962,5.212
wasm2c,1048576,9,1,10.965535999275744,4.946,4.325
wasm2c,1048576,9,2,9.108982980251312,4.198,3.663
wasm2c,1048576,9,3,10.788707993924618,4.972,4.349
wasm2c,1048576,9,4,9.039263997692615,4.139,3.667
process,1048576,9,0,25.292915990576148,16.096,5.368
process,1048576,9,1,20.16922499751672,12.802,4.018
process,1048576,9,2,26.22354496270418,17.024,5.393
process,1048576,9,3,23.52576400153339,14.862,4.833
process,1048576,9,4,26.269185007549822,16.949,5.498
meta_process,1048576,9,0,21.561421977821738,13.48,4.271
meta_process,1048576,9,1,21.467871963977814,13.103,4.478
meta_process,1048576,9,2,26.948206999804825,17.744,5.659
meta_process,1048576,9,3,26.676542009226978,17.245,5.593
meta_process,1048576,9,4,28.487606963608414,18.618,5.995
meta_wasm,1048576,9,0,11.906988976988941,4.652,3.62
meta_wasm,1048576,9,1,13.727830024436116,5.721,4.758
meta_wasm,1048576,9,2,12.416366022080183,4.725,4.067
meta_wasm,1048576,9,3,13.989169034175575,5.922,4.79
meta_wasm,1048576,9,4,14.61217098403722,5.827,4.803
meta_adaptive,1048576,9,0,11.6890849894844,4.596,3.817
meta_adaptive,1048576,9,1,14.820591954048723,6.285,5.075
meta_adaptive,1048576,9,2,12.335556966718286,4.686,3.723
meta_adaptive,1048576,9,3,15.0650930008851,6.21,5.086
meta_adaptive,1048576,9,4,16.589410020969808,7.094,5.792
native,4194304,1,0,12.570410966873169,,11.29
native,4194304,1,1,12.267084966879338,,11.043
native,4194304,1,2,15.371298009995371,,13.979
native,4194304,1,3,12.380748987197876,,11.117
native,4194304,1,4,12.402612017467618,,11.1
